,INDEX,ID,Nickname,commentCount,playCount,shareCount,url,neg,neu,pos,containsMisinformation,Desc,Unigram_Score,Bigram_Score
0,0,6.89e+18,Alexandra Kopko (She/Her),9231,5800000,30000,https://www.tiktok.com/@alexandrawideeyes/video/6893213082131238150,0.0,1.0,0.0,0,vaccine biden antivaxxer yikes politics republican democrat vaccinateyourkids motivation monday fyp election notreadytodie trending,0.42857142857142855,0.0
1,1,6.97e+18,Gea Love,21500,5100000,8370,https://www.tiktok.com/@everything_gealove/video/6966680335098662149,0.446,0.484,0.07,1,karen soo pissed asked damn mask want work ppl making life hard uberlyftantivaxxerprivileged,0.23076923076923078,0.0
2,2,7.01e+18,jada ☠️,13000,3000000,15500,https://www.tiktok.com/@1lov3emos/video/7005704930585562374,0.0,0.784,0.216,1,fyp seconds light work lifeisgooddance vaccine covid lgbtq antivaxx antivaxxer joke,0.2727272727272727,0.0
3,3,6.98e+18,.qu,17300,2800000,14000,https://www.tiktok.com/@qu.qu.qu.qu/video/6977228006788058374,0.0,1.0,0.0,0,republicanmoment antivaxxer fyp meme,0.0,0.0
4,4,6.91e+18,Chelsea Hart,12200,2700000,46100,https://www.tiktok.com/@chelseahartisme/video/6905483623760235778,0.398,0.248,0.354,0,ill leave vaccine vaccines antivaxxer lol funny rant fyp,0.3333333333333333,0.0
5,5,7.01e+18,Mr. Mayo 2 U,12800,2100000,11600,https://www.tiktok.com/@captainmayoman/video/7013537151136664837,0.0,1.0,0.0,0,wear jacket late aguynamedjohn vaccine covid antivaxx jesus antivaxxer politics livelaughlove greenscreen,0.16666666666666666,0.0
6,7,7e+18,Sophia S,0,2600000,2602,https://www.tiktok.com/@romaniansecretpolice/video/7003109247412210949,0.0,0.694,0.306,1,antivaxx antivaxxer pfizer vaccine joke fyp,0.3333333333333333,0.0
7,8,7.03e+18,kyle rehl,1334,2200000,1474,https://www.tiktok.com/@kylerehl/video/7027215499461135622,0.0,1.0,0.0,1,shout bakersfield true story vaccinated antivaxxer covidvaccine science,0.375,0.0
8,9,6.96e+18,Usagi V 🐰,1521,1100000,1753,https://www.tiktok.com/@usagiverte/video/6962598590019636485,0.0,1.0,0.0,0,weve come circle vaccine antivaxxer,0.2,0.0
9,10,7.02e+18,ERnurseLady,7036,1700000,23700,https://www.tiktok.com/@lillin20/video/7022717208874765573,0.0,0.714,0.286,0,antivaxx antivaxxer science nursesoftiktok nurselife getvaccinated dobetter ernurse,0.125,0.0
10,11,6.9e+18,Alexandra Kopko (She/Her),813,737100,1845,https://www.tiktok.com/@alexandrawideeyes/video/6895763837652339973,0.0,1.0,0.0,0,reply alexandrawideeyes shes antivaxxer biden politics vaccine vaccinateyourkids republican democrat trending notreadytodie,0.25,0.0
